epoch,train_loss,valid_loss,valid_metric
0,3.9104400634765626,0.4432694911956787,0.4443565011024475
1,0.9231674830118816,0.40622344613075256,0.39165666699409485
2,0.875402323404948,0.3677537739276886,0.3742922246456146
3,0.8284886042277019,0.3504948318004608,0.3512885570526123
4,0.8172358830769857,0.3563495874404907,0.3647332489490509
5,0.8890828450520833,0.5317845344543457,0.5377579927444458
6,0.8262914021809896,0.3671228885650635,0.3582534193992615
7,0.7751755396525065,0.34379416704177856,0.34962037205696106
8,0.7729696909586589,0.3756405711174011,0.3748219609260559
9,0.7670560201009115,0.3695409595966339,0.36217212677001953
10,0.765308698018392,0.34557464718818665,0.34193748235702515
11,0.7723904927571614,0.35106945037841797,0.3473500907421112
12,0.7566450754801433,0.32739773392677307,0.3275136649608612
13,0.7462455749511718,0.3364650011062622,0.3377799987792969
14,0.7482676188151042,0.3366602957248688,0.33236372470855713
15,0.7418213526407877,0.32800745964050293,0.3278549313545227
16,0.7384113947550456,0.33660563826560974,0.330675333738327
17,0.7366915384928385,0.3436281085014343,0.338076114654541
18,0.7254156748453776,0.3360908329486847,0.3436504900455475
19,0.7339307149251302,0.3471500873565674,0.35354599356651306
20,0.7371106465657552,0.33606961369514465,0.3385174572467804
21,0.7270968755086263,0.32797369360923767,0.3310808539390564
22,0.7154623667399088,0.37358641624450684,0.36523568630218506
23,0.7133080800374348,0.3937402367591858,0.4023754298686981
24,0.7075845082600911,0.3781246840953827,0.36790958046913147
25,0.7113096872965495,0.35729724168777466,0.34497183561325073
26,0.7117652257283529,0.32968616485595703,0.33323538303375244
27,0.7063660303751628,0.3575195372104645,0.3568553626537323
28,0.7018500010172526,0.35114988684654236,0.35215145349502563
29,0.6937012990315755,0.3338015675544739,0.33777785301208496
30,0.6860664367675782,0.36301833391189575,0.3555853068828583
31,0.6953942616780598,0.3546849489212036,0.35536250472068787
32,0.6932149251302083,0.37441062927246094,0.3769543468952179
33,0.6781492869059245,0.364124059677124,0.3591502606868744
34,0.6801021575927735,0.35773077607154846,0.3601110875606537
35,0.6781154632568359,0.3491903245449066,0.34945592284202576
36,0.6779728571573893,0.33849039673805237,0.34240487217903137
37,0.6650982538859049,0.3450610637664795,0.34348416328430176
38,0.6658184051513671,0.3529030680656433,0.35133272409439087
39,0.6469121297200521,0.3662051260471344,0.3667171001434326
40,0.6531378428141276,0.3652181625366211,0.3567037284374237
41,0.6486700693766276,0.3522839844226837,0.34480375051498413
42,0.6388405481974284,0.3318060040473938,0.3397352695465088
43,0.6282154083251953,0.34966593980789185,0.34886446595191956
44,0.642018191019694,0.3281293511390686,0.3305326998233795
45,0.6340784072875977,0.3549267053604126,0.36138612031936646
46,0.6209637959798177,0.3480691909790039,0.3443252444267273
47,0.6183369318644206,0.37135374546051025,0.3691205382347107
48,0.6079552332560222,0.3988511562347412,0.40057170391082764
49,0.6065327326456705,0.3693975508213043,0.3646034598350525
50,0.5990466435750326,0.33970218896865845,0.3422842025756836
51,0.598283322652181,0.35444319248199463,0.3643104135990143
52,0.6036149342854817,0.3985932469367981,0.38774579763412476
53,0.6119563420613606,0.40758857131004333,0.4079553186893463
54,0.5957846323649089,0.34924542903900146,0.3466576039791107
55,0.5861147562662761,0.3542887270450592,0.35873958468437195
56,0.5771209716796875,0.35189616680145264,0.3483527600765228
57,0.5821878433227539,0.3393748700618744,0.34467872977256775
58,0.5823751449584961,0.35320961475372314,0.3542317748069763
59,0.5729859670003256,0.35688653588294983,0.35445842146873474
60,0.5617457071940104,0.35497674345970154,0.3492846190929413
61,0.5635336558024089,0.39786529541015625,0.38812097907066345
62,0.5643836975097656,0.3580067753791809,0.3637392222881317
63,0.5557068506876628,0.33590760827064514,0.3442615270614624
64,0.5487937927246094,0.42335212230682373,0.41538378596305847
65,0.5529813766479492,0.3675636947154999,0.3665855824947357
66,0.5576829274495443,0.3415662944316864,0.34167909622192383
67,0.5441216150919597,0.35423746705055237,0.3580097258090973
68,0.5382364908854167,0.3443338871002197,0.3527432680130005
69,0.5416682561238607,0.36274152994155884,0.36335110664367676
70,0.5363949457804362,0.3853437900543213,0.37755119800567627
71,0.533454704284668,0.38478726148605347,0.38873007893562317
72,0.5291396141052246,0.39043256640434265,0.3884497582912445
73,0.5391860961914062,0.36018553376197815,0.36154237389564514
74,0.5273132642110189,0.37085622549057007,0.3732186257839203
75,0.5210935910542805,0.36318090558052063,0.3607158660888672
76,0.5265172322591146,0.39214691519737244,0.39443257451057434
77,0.5312952359517416,0.3708502948284149,0.37166115641593933
78,0.5213451385498047,0.37864798307418823,0.3725438714027405
79,0.5271148363749186,0.41769281029701233,0.4187045991420746
80,0.5241315205891927,0.3729359805583954,0.3622988760471344
81,0.5118716557820638,0.37038707733154297,0.3687589168548584
82,0.5167680740356445,0.38056501746177673,0.3732558488845825
83,0.5111334164937337,0.4198564887046814,0.430848628282547
84,0.5071061452229818,0.3925301730632782,0.38930749893188477
85,0.5095056533813477,0.38692906498908997,0.40230631828308105
86,0.49894514083862307,0.4086648225784302,0.40086105465888977
87,0.5044878959655762,0.36182212829589844,0.36991044878959656
88,0.5004741668701171,0.364300012588501,0.3686892092227936
89,0.497064749399821,0.4000084698200226,0.40053385496139526
90,0.49328654607137046,0.3904624879360199,0.39117980003356934
91,0.5017604509989421,0.40131503343582153,0.4062579572200775
92,0.4985393842061361,0.411510169506073,0.4200282394886017
93,0.49992170333862307,0.41087761521339417,0.4153864085674286
94,0.4946219126383464,0.3778059184551239,0.3719480037689209
95,0.4964296023050944,0.3850954473018646,0.38441595435142517
96,0.48434902826944987,0.46117639541625977,0.4637225866317749
97,0.47954092025756834,0.38727208971977234,0.39748093485832214
98,0.4800784428914388,0.38041558861732483,0.37113869190216064
99,0.48036508560180663,0.38122454285621643,0.3807206451892853
